"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen","Modelskizze"
"Hepburn Top","Charm Patterns by Gertie","","Damen","Oberteil","Top","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/hepburn-top/","https://enibas-gh.github.io/Schnittmuster/bilder/Hepburn-Top.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Hepburn-Top_skizze.jpg"
"Night and Day Dress","Charm Patterns by Gertie","","Damen","Kleid","Kleid","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/night-and-day-dress/","https://enibas-gh.github.io/Schnittmuster/bilder/NightandDayDress.jpg","",""
"Patsy Blouse","Charm Patterns by Gertie","","Damen","Oberteil","Bluse","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/patsy-blouse/","https://enibas-gh.github.io/Schnittmuster/bilder/PatsyBlouse.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Patsy-Blouse_skizze.png"
"Marilyn Jeans","Charm Patterns by Gertie","","Damen","Unterteil","Hose","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/marilyn-jeans/","https://enibas-gh.github.io/Schnittmuster/bilder/MarilynJeans.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/Marilyn-Jeans_skizze.png"
"Stanwyck Skirt","Charm Patterns by Gertie","","Damen","Unterteil","Rock","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/stanwyck-skirt/","https://enibas-gh.github.io/Schnittmuster/bilder/Stanwyck_Skirt.jpg","https://charmpatterns.com/wp-content/uploads/2020/03/Charm-926-Web.jpg",""
"Princess Coat","Charm Patterns by Gertie","","Damen","Oberteil","Mantel","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/preorder-princess-coat/","https://enibas-gh.github.io/Schnittmuster/bilder/Princess_Coat.png","https://charmpatterns.com/wp-content/uploads/2019/12/Charm-121-Revised-Web.jpg",""
"Dorothy Bolero","Charm Patterns by Gertie","","Damen","Oberteil","Jacke","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/dorothy-bolero/","https://enibas-gh.github.io/Schnittmuster/bilder/Dorothy-Bolero.jpg","https://charmpatterns.com/wp-content/uploads/2019/08/Screenshot-2019-08-20-14.03.51.png",""
"Jane Set – Bustier","Charm Patterns by Gertie","Jane Set","Damen","Lingerie","BH","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/jane-set/","https://enibas-gh.github.io/Schnittmuster/bilder/Jane-Set-Bustier.jpg","Mehrfachschnitt: Bustier, Shorts, Capri, Jumpsuit",""
"Jane Set – Shorts","Charm Patterns by Gertie","Jane Set","Damen","Unterteil","Shorts","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/jane-set/","https://enibas-gh.github.io/Schnittmuster/bilder/Jane-Set-Shorts.jpg","Mehrfachschnitt: Bustier, Shorts, Capri, Jumpsuit",""
"Jane Set – Capri","Charm Patterns by Gertie","Jane Set","Damen","Unterteil","Hose","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/jane-set/","https://enibas-gh.github.io/Schnittmuster/bilder/Jane-Set-Pants.jpg","Mehrfachschnitt: Bustier, Shorts, Capri, Jumpsuit",""
"Jane Set – Jumpsuit","Charm Patterns by Gertie","Jane Set","Damen","Einteiler","Jumpsuit","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/jane-set/","https://enibas-gh.github.io/Schnittmuster/bilder/Jane-Set_Jumpsuit.jpg","Mehrfachschnitt: Bustier, Shorts, Capri, Jumpsuit",""
