"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen"
"American Beauty Dress","Gertie Patreon","Institute of Style","Damen","Kleid","Kleid","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","","","Empire-Taille, A-Linie, 3 Rocklängen (Mini, Knie, Boden). Opt. Ärmel von Maria Dress, Bodice und Rock gefüttert. Hommage an Ann Lowe. Baumwollsatin, Twill, Wolle, Brokat, Seidentaft."
"Anni Bodice","Gertie Patreon","Hollywood Icons","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Gefüttertes Mieder, eckiger Ausschnitt, 2 Ärmellängen oder ärmellos. Kombination mit Stanwyck-Röcken."
"Audrey Cigarette Pants","Gertie Patreon","","Damen","Unterteil","Hose","Jersey","2-20 / 18-34","PDF","Vorhanden","","","Knöchellang oder Capri. 50% Stretch. Ponte, Stretch-Bengaline, Stretch-Velour."
"Aurora Bodice","Gertie Patreon","Stanwyck Series","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Mieder mit optionalem Schnüroverlay, Peplum, Cap- oder Puffärmel. Mix & Match mit Stanwyck-Serie."
"Barbara Bodice","Gertie Patreon","Lamour Series","Damen","Oberteil","Top","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Prinzessnähte, runder Ausschnitt, 2 Trägeroptionen (Bindebänder oder breite Träger). Mix & Match Lamour-Serie."
"Barbie Top","Gertie Patreon","","Damen","Oberteil","Top","Jersey","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Mock-Rollkragen, 4 Ärmellängen (ärmellos, kurz, 3/4, lang). 50% Stretch."
"Bathing Beauty","Gertie Patreon","Hollywood Icons","Damen","Lingerie","Badeanzug","Jersey","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Halterträger, opt. Rüschenoverlay, opt. eingenähter BH. 4-Wege-Stretch-Badeanzugstoff."
"Boardwalk Sundress","Gertie Patreon","","Damen","Kleid","Kleid","","","PDF","Vorhanden","","",""
"Brooklyn Jacket","Gertie Patreon","Charm Artist Collective","Damen","Oberteil","Jacke","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","Taillierte Jacke, 2 Längen (Crop/Taillenlang), 2 Ärmeloptionen, opt. Brusttasche. Denim, Cord, Leinen, Wollstoffe, Seidenmatka."
"Carousel Dress","Gertie Patreon","Charm Artist Collective","Damen","Kleid","Kleid","Webware","2-20 / 18-34 (A-H Cup)","PDF","Vorhanden","","","A-Linie, opt. Rüschenvolant, Paspelierung, Schleifen. Baumwoll-Satin, Popeline, Seersucker, Chambray, Leinen; Glamour: Taft, Dupioni."
