"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Modelskizze","Notizen"
"Kuschel-Hausschuhe","pattydoo","","Unisex","Sonstiges","Sonstiges","Sonstiges","29–46 (Schuhgröße)","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-hausschuhe","https://enibas-gh.github.io/Schnittmuster/bilder/schnittmuster-16292.jpg","","Freebie; Plüsch/Teddy/Fleece empfohlen; Ledersohle möglich; Video: www.patty.do/diy-hausschuhe"
"Ripp-Top Jazz","pattydoo","","Damen","Oberteil","Top","Jersey","32–54","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-ripp-top-crop","https://www.pattydoo.de/sites/default/files/styles/product_teaser/public/media-images/2023-07/schnittmuster-crop-top-bauchfrei-rippjersey-naehen.jpg.webp","","Varianten: Normale Länge, Crop-Top"
"Shirt Liv","pattydoo","","Damen","Oberteil","Shirt","Jersey","32–54","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-shirt-liv","https://enibas-gh.github.io/Schnittmuster/bilder/schnittmuster-26852.jpg","","Varianten Ausschnitt: rund, U-Boot, V-Ausschnitt, Rollkragen; Varianten Ärmel: kurz, halb, ¾, lang, Puffärmel, Faltenärmel (gratis-Download); Saum: Einschlag 2 cm oder Saumbund 5/10 cm Höhe; BW- oder Viskosejersey, leichter Sommersweat; NZ 0,7 cm; Video: www.patty.do/video-liv + www.patty.do/shirt-liv-saumbund"
"Jogginghose Alex","pattydoo","","Herren","Unterteil","Hose","Jersey","S–XXXL (Konf. 44–66)","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-jogginghose-herren-alex","https://www.pattydoo.de/sites/default/files/styles/product_teaser/public/media-images/2020-07/schnittmuster_maenner_jogginghose_naehen.jpg.webp","","Eingriffstaschen mit Reißverschlüssen; elastischer Hosenbund mit 2 Gummibändern + Kordel; Beinbündchen; Varianten: Eingriffstasche ohne RV, Nahttasche; Video: www.patty.do/jogginghose-alex"
"Raglan-Sweatshirt Amy","pattydoo","","Damen","Oberteil","Sweatshirt","Jersey","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-sweatshirt-amy","https://www.pattydoo.de/sites/default/files/styles/product_teaser/public/media-images/2020-01/schnittmuster-pullover-raglanaermel-naehen.jpg.webp","",""
"Lunchbag (2 Größen)","pattydoo","","Unisex","Taschen","Sonstiges","Webware","Normal 29×16×12 cm / Groß 32×18×14 cm","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-lunchbag","https://enibas-gh.github.io/Schnittmuster/bilder/schnittmuster-5164.jpg","","Auch als Schwimmtasche; beschichteter Stoff empfohlen; Video: www.patty.do/lunchbag-video"
"Taschenorganizer","pattydoo","","Unisex","Taschen","Sonstiges","Sonstiges","23×19×10 cm (B×H×T)","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-taschenorganizer","https://enibas-gh.github.io/Schnittmuster/bilder/schnittmuster-17424.jpg","","Freebie; aus Filz; Varianten: komplett aus Filz oder mit Gurtband-Griffen (2×40 cm Gurtband 3 cm breit); Anleitung: www.patty.do/organizer"
"Taschenorganizer Untertasche","pattydoo","","Unisex","Taschen","Sonstiges","Webware","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-taschenorganizer","","",""
"Damenrock Tessa","pattydoo","","Damen","Unterteil","Rock","Stretch-Webware","32–54","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-damenrock-tessa","https://enibas-gh.github.io/Schnittmuster/bilder/schnittmuster-36559.jpg","","Varianten: Minirock + Bleistiftrock mit Schlitz; geformter Bund, Abnäher, Teilungsnaht, schräge Eingriffstaschen, sichtbarer Metall-RV hinten; Stretch Velours/Denim/Twill/Feincord mit Elasthan; NZ 1 cm, Saum 2,5 cm; Video: www.patty.do/video-tessa"
"Kosmetiktasche Lotta","pattydoo","","Damen","Taschen","Kosmetiktasche","Webware","20×10 cm bzw. 20×14 cm","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-kosmetiktasche-lotta","https://enibas-gh.github.io/Schnittmuster/bilder/schnittmuster-20168.jpg","","Freebie; 2 Größen; 3–4 Innenfächer; Canvas/Kunstleder/Oilskin empfohlen; Video: www.patty.do/video-lotta"
"Bügelei & Saumrolle","pattydoo","","Unisex","Sonstiges","Sonstiges","Sonstiges","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster","https://enibas-gh.github.io/Schnittmuster/bilder/schnittmuster-17898.jpg","","Schnittmuster für Nähzubehör: Bügelei-Form und Saumrolle"
"Handtuch-Turban","pattydoo","","Damen","Accessoires","Sonstiges","Jersey","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-handtuch-turban","https://enibas-gh.github.io/Schnittmuster/bilder/schnittmuster-37496.jpg","",""
"Tablet-Tasche","pattydoo","","Unisex","Taschen","Sonstiges","Webware","","PDF","Vorhanden","https://www.pattydoo.de/schnittmuster-tablet-tasche","https://enibas-gh.github.io/Schnittmuster/bilder/schnittmuster-12408.jpg","",""
